city,year,drought_risk_score,flood_risk_score,heatwave_risk_score,cyclone_risk_score,landslide_risk_score,composite_score,composite_category
Jodhpur,2022,3.52,14.36,98.22,0.0,0.0,24.83,LOW
Jodhpur,2023,41.0,4.28,98.22,0.0,0.0,31.18,MEDIUM
Kochi,2015,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kochi,2016,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kochi,2017,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kochi,2018,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kochi,2019,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kochi,2020,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kochi,2021,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kochi,2022,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kochi,2023,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Kolkata,2015,0.0,82.21,2.19,1.55,0.0,25.33,MEDIUM
Kolkata,2016,0.0,8.26,2.19,1.55,0.0,3.15,LOW
Kolkata,2017,0.0,23.7,2.19,1.55,0.0,7.78,LOW
Kolkata,2018,0.0,18.99,2.19,1.55,0.0,6.37,LOW
Kolkata,2019,0.0,68.63,2.19,1.55,0.0,21.26,LOW
Kolkata,2020,0.0,7.28,1.2,1.55,0.0,2.66,LOW
Kolkata,2021,0.0,10.07,1.37,1.55,0.0,3.53,LOW
Kolkata,2022,0.0,23.92,2.19,1.55,0.0,7.85,LOW
Kolkata,2023,0.0,52.6,97.8,1.55,0.0,35.57,MEDIUM
Kozhikode,2015,0.0,0.0,0.0,0.0,0.83,0.08,LOW
Kozhikode,2016,0.0,0.0,0.0,0.0,0.83,0.08,LOW
Kozhikode,2017,0.0,0.0,0.0,0.0,0.83,0.08,LOW
Kozhikode,2018,0.0,0.0,0.0,0.0,1.25,0.12,LOW
Kozhikode,2019,0.0,0.0,0.0,0.0,38.48,3.85,LOW
Kozhikode,2020,0.0,0.0,0.0,0.0,34.7,3.47,LOW
Kozhikode,2021,0.0,0.0,0.0,0.0,2.06,0.21,LOW
Kozhikode,2022,0.0,0.0,0.0,0.0,71.63,7.16,LOW
Kozhikode,2023,0.0,0.0,0.0,0.0,81.97,8.2,LOW
Manali,2015,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Manali,2016,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Manali,2017,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Manali,2018,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Manali,2019,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Manali,2020,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Manali,2021,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Manali,2022,0.0,0.0,0.0,0.0,56.21,5.62,LOW
Manali,2023,0.0,0.0,0.0,0.0,3.18,0.32,LOW
Mangaluru,2015,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mangaluru,2016,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mangaluru,2017,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mangaluru,2018,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mangaluru,2019,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mangaluru,2020,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mangaluru,2021,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mangaluru,2022,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mangaluru,2023,0.0,0.0,0.0,1.55,0.0,0.23,LOW
Mumbai,2015,0.0,1.76,1.2,1.55,0.0,1.0,LOW
Mumbai,2016,0.0,27.47,1.2,1.55,0.0,8.71,LOW
Mumbai,2017,0.0,78.92,1.2,1.55,0.0,24.15,LOW
Mumbai,2018,0.0,0.15,1.2,1.55,0.0,0.52,LOW
Mumbai,2019,0.0,6.0,1.2,1.55,0.0,2.27,LOW
Mumbai,2020,0.0,57.66,1.2,1.55,0.0,17.77,LOW
Mumbai,2021,0.0,0.55,1.2,1.55,0.0,0.64,LOW
Mumbai,2022,0.0,1.19,1.2,1.55,0.0,0.83,LOW
Mumbai,2023,0.0,1.19,1.2,1.55,0.0,0.83,LOW
Munnar,2015,0.0,0.0,0.0,0.0,2.67,0.27,LOW
Munnar,2016,0.0,0.0,0.0,0.0,2.67,0.27,LOW
Munnar,2017,0.0,0.0,0.0,0.0,93.88,9.39,LOW
Munnar,2018,0.0,0.0,0.0,0.0,98.49,9.85,LOW
Munnar,2019,0.0,0.0,0.0,0.0,98.49,9.85,LOW
Munnar,2020,0.0,0.0,0.0,0.0,98.49,9.85,LOW
Munnar,2021,0.0,0.0,0.0,0.0,98.49,9.85,LOW
Munnar,2022,0.0,0.0,0.0,0.0,98.49,9.85,LOW
Munnar,2023,0.0,0.0,0.0,0.0,98.49,9.85,LOW
Mussoorie,2015,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Mussoorie,2016,0.0,0.0,0.0,0.0,12.13,1.21,LOW
Mussoorie,2017,0.0,0.0,0.0,0.0,3.18,0.32,LOW
Mussoorie,2018,0.0,0.0,0.0,0.0,98.45,9.85,LOW
Mussoorie,2019,0.0,0.0,0.0,0.0,3.18,0.32,LOW
Mussoorie,2020,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Mussoorie,2021,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Mussoorie,2022,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Mussoorie,2023,0.0,0.0,0.0,0.0,1.45,0.14,LOW
Nagpur,2015,78.77,4.8,98.95,0.0,0.0,40.92,MEDIUM
Nagpur,2016,1.29,83.2,98.95,0.0,0.0,45.07,MEDIUM
Nagpur,2017,13.05,6.18,98.95,0.0,0.0,24.91,LOW
Nagpur,2018,5.11,6.41,98.95,0.0,0.0,22.99,LOW
Nagpur,2019,4.44,20.56,98.95,0.0,0.0,27.07,MEDIUM
Nagpur,2020,0.58,91.94,98.95,0.0,0.0,47.52,MEDIUM
Nagpur,2021,0.61,10.62,91.0,0.0,0.0,21.54,LOW
